red_fighter_name,blue_fighter_name,winner,winner_encoded
Rob Font,Jean Matsumoto,Red,1
Jean Silva,Melsik Baghdasaryan,Red,1
Alonzo Menifield,Julius Walker,Red,1
Ion Cutelaba,Ibo Aslan,Red,1
Andre Fili,Melquizael Costa,Blue,0
Mansur Abdul-Malik,Nick Klein,Red,1
Ricky Simon,Javid Basharat,Red,1
Nikolay Veretennikov,Austin Vanderford,Blue,0
Nursulton Ruziboev,Eric McConico,Red,1
Modestas Bukauskas,Rafael Cerqueira,Red,1
Jared Cannonier,Gregory Rodrigues,Red,1
Calvin Kattar,Youssef Zalal,Blue,0
Edmen Shahbazyan,Dylan Budka,Red,1
Ismael Bonfim,Nazim Sadykhov,Blue,0
Rodolfo Vieira,Andre Petroski,Blue,0
Connor Matthews,Jose Delgado,Blue,0
Angela Hill,Ketlen Souza,Red,1
Rafael Estevam,Jesus Aguilar,Red,1
Gabriel Bonfim,Khaos Williams,Red,1
Vince Morales,Elijah Smith,Blue,0
Don'Tale Mayes,Valter Walker,Blue,0
Julia Avila,Jacqueline Cavalcanti,Blue,0
Dricus Du Plessis,Sean Strickland,Red,1
Zhang Weili,Tatiana Suarez,Red,1
Justin Tafa,Tallison Teixeira,Blue,0
Jake Matthews,Francisco Prado,Red,1
Jack Jenkins,Gabriel Santos,Blue,0
Tom Nolan,Viacheslav Borshchev,Red,1
Wang Cong,Bruna Brasil,Red,1
Colby Thicknesse,Aleksandre Topuria,Blue,0
Rongzhu,Kody Steele,Red,1
Jonathan Micallef,Kevin Jousset,Red,1
Quillan Salkilld,Anshul Jubli,Red,1
Israel Adesanya,Nassourdine Imavov,Blue,0
Shara Magomedov,Michael Page,Blue,0
Sergei Pavlovich,Jairzinho Rozenstruik,Red,1
Said Nurmagomedov,Vinicius Oliveira,Blue,0
Fares Ziam,Mike Davis,Red,1
Muhammad Naimov,Kaan Ofli,Red,1
Shamil Gaziev,Thomas Petersen,Red,1
Terrance McKinney,Damir Hadzovic,Red,1
Jasmine Jasudavicius,Mayra Bueno Silva,Red,1
Bogdan Grad,Lucas Alexander,Red,1
Hamdy Abdelwahab,Jamal Pogues,Red,1
Islam Makhachev,Renato Moicano,Red,1
Merab Dvalishvili,Umar Nurmagomedov,Red,1
Jiri Prochazka,Jamahal Hill,Red,1
Jailton Almeida,Serghei Spivac,Red,1
Kevin Holland,Reinier de Ridder,Blue,0
Payton Talbott,Raoni Barcelos,Blue,0
Zachary Reese,Azamat Bekoev,Blue,0
Bogdan Guskov,Billy Elekana,Red,1
Grant Dawson,Diego Ferreira,Red,1
Karol Rosa,Ailin Perez,Blue,0
Rinya Nakamura,Muin Gafurov,Blue,0
Ricky Turcios,Benardo Sopaj,Blue,0
Tagir Ulanbekov,Clayton Carpenter,Red,1
Mackenzie Dern,Amanda Ribas,Red,1
Santiago Ponzinibbio,Carlston Harris,Red,1
Cesar Almeida,Abdul Razak Alhassan,Red,1
Chris Curtis,Roman Kopylov,Blue,0
Christian Rodriguez,Austin Bashi,Red,1
Punahele Soriano,Uros Medic,Red,1
Jose Johnson,Felipe Bunes,Blue,0
Marco Tulio,Ihor Potieria,Red,1
