red_fighter_name,blue_fighter_name,winner,winner_encoded
Arnold Allen,Dan Hooker,Red,1
Paddy Pimblett,Kazula Vargas,Red,1
Gunnar Nelson,Takashi Sato,Red,1
Molly McCann,Luana Carolina,Red,1
Jai Herbert,Ilia Topuria,Blue,0
Mike Grundy,Makwan Amirkhani,Blue,0
Shamil Abdurakhimov,Sergei Pavlovich,Blue,0
Nikita Krylov,Paul Craig,Blue,0
Jack Shore,Timur Valiev,Red,1
Cory McKenna,Elise Reed,Blue,0
Muhammad Mokaev,Cody Durden,Red,1
Thiago Santos,Magomed Ankalaev,Blue,0
Marlon Moraes,Song Yadong,Blue,0
Sodiq Yusuff,Alex Caceres,Red,1
Khalil Rountree Jr.,Karl Roberson,Red,1
Drew Dober,Terrance McKinney,Red,1
Alex Pereira,Bruno Silva,Red,1
Matthew Semelsberger,AJ Fletcher,Red,1
JJ Aldrich,Gillian Robertson,Red,1
Trevin Jones,Javid Basharat,Blue,0
Damon Jackson,Kamuela Kirk,Red,1
Sabina Mazo,Miranda Maverick,Blue,0
Dalcha Lungiambula,Cody Brundage,Blue,0
Kris Moutinho,Guido Cannetti,Blue,0
Tafon Nchukwi,Azamat Murzakanov,Blue,0
Colby Covington,Jorge Masvidal,Red,1
Rafael Dos Anjos,Renato Moicano,Red,1
Edson Barboza,Bryce Mitchell,Blue,0
Kevin Holland,Alex Oliveira,Red,1
Serghei Spivac,Greg Hardy,Red,1
Jalin Turner,Jamie Mullarkey,Red,1
Marina Rodriguez,Yan Xiaonan,Red,1
Nicolae Negumereanu,Kennedy Nzechukwu,Red,1
Maryna Moroz,Mariya Agapova,Red,1
Brian Kelleher,Umar Nurmagomedov,Blue,0
Tim Elliott,Tagir Ulanbekov,Red,1
Devonte Smith,Ludovit Klein,Blue,0
Dustin Jacoby,Michal Oleksiejczuk,Red,1
Islam Makhachev,King Green,Red,1
Misha Cirkunov,Wellington Turman,Blue,0
Ji Yeon Kim,Priscila Cachoeira,Blue,0
Arman Tsarukyan,Joel Alvarez,Red,1
Armen Petrosyan,Gregory Rodrigues,Red,1
Rongzhu,Ignacio Bahamondes,Blue,0
Josiane Nunes,Ramona Pascual,Red,1
Terrance McKinney,Fares Ziam,Red,1
Alejandro Perez,Jonathan Martinez,Blue,0
Ramiz Brahimaj,Micheal Gillmore,Red,1
Victor Altamirano,Carlos Hernandez,Blue,0
Johnny Walker,Jamahal Hill,Blue,0
Kyle Daukaus,Jamie Pickett,Red,1
Parker Porter,Alan Baudot,Red,1
Jim Miller,Nikolas Motta,Red,1
Joaquin Buckley,Abdul Razak Alhassan,Red,1
Gabriel Benitez,David Onama,Blue,0
Jessica-Rose Clark,Stephanie Egger,Blue,0
Chas Skelly,Mark Striegl,Red,1
Diana Belbita,Gloria de Paula,Blue,0
Chad Anheliger,Jesse Strader,Red,1
Jonathan Pearce,Christian Rodriguez,Red,1
Mario Bautista,Jay Perrin,Red,1
Israel Adesanya,Robert Whittaker,Red,1
Derrick Lewis,Tai Tuivasa,Blue,0
Jared Cannonier,Derek Brunson,Red,1
Alexander Hernandez,Renato Moicano,Blue,0
King Green,Nasrat Haqparast,Red,1
Andrei Arlovski,Jared Vanderaa,Red,1
Roxanne Modafferi,Casey O'Neill,Blue,0
Kyler Phillips,Marcelo Rojo,Red,1
Carlos Ulberg,Fabio Cherant,Red,1
Mana Martinez,Ronnie Lawrence,Blue,0
AJ Dobson,Jacob Malkoun,Blue,0
Douglas Silva de Andrade,Sergey Morozov,Red,1
Jeremiah Wells,Blood Diamond,Red,1
William Knight,Maxim Grishin,Blue,0
Jack Hermansson,Sean Strickland,Blue,0
Punahele Soriano,Nick Maximov,Blue,0
Shavkat Rakhmonov,Carlston Harris,Red,1
Sam Alvey,Brendan Allen,Blue,0
Tresean Gore,Bryan Battle,Blue,0
Julian Erosa,Steven Peterson,Red,1
Miles Johns,John Castaneda,Blue,0
Hakeem Dawodu,Michael Trizano,Red,1
Chidi Njokuani,Marc-Andre Barriault,Red,1
Alexis Davis,Julija Stoliarenko,Red,1
Jailton Almeida,Danilo Marques,Red,1
Jason Witt,Phil Rowe,Blue,0
Malcolm Gordon,Denys Bondar,Red,1
Francis Ngannou,Ciryl Gane,Red,1
Brandon Moreno,Deiveson Figueiredo,Blue,0
Michel Pereira,Andre Fialho,Red,1
Cody Stamann,Said Nurmagomedov,Blue,0
Michael Morales,Trevin Giles,Red,1
Raoni Barcelos,Victor Henry,Blue,0
Jack Della Maddalena,Pete Rodriguez,Red,1
Tony Gravely,Saimon Oliveira,Red,1
Matt Frevola,Genaro Valdez,Red,1
Silvana Gomez Juarez,Vanessa Demopoulos,Blue,0
Kay Hansen,Jasmine Jasudavicius,Blue,0
Calvin Kattar,Giga Chikadze,Red,1
Jake Collier,Chase Sherman,Red,1
Brandon Royval,Rogerio Bontorin,Red,1
Katlyn Cerminara,Jennifer Maia,Red,1
Dakota Bush,Viacheslav Borshchev,Blue,0
Bill Algeo,Joanderson Brito,Red,1
Jamie Pickett,Joseph Holmes,Red,1
Court McGee,Ramiz Brahimaj,Red,1
Brian Kelleher,Kevin Croom,Red,1
TJ Brown,Charles Rosa,Red,1
Derrick Lewis,Chris Daukaus,Red,1
Stephen Thompson,Belal Muhammad,Blue,0
Amanda Lemos,Angela Hill,Red,1
Raphael Assuncao,Ricky Simon,Blue,0
Diego Ferreira,Mateusz Gamrot,Blue,0
Cub Swanson,Darren Elkins,Red,1
Dustin Stoltzfus,Gerald Meerschaert,Blue,0
Justin Tafa,Harry Hunsucker,Red,1
Sijara Eubanks,Melissa Gatto,Blue,0
Charles Jourdain,Andre Ewell,Red,1
Raquel Pennington,Macy Chiasson,Red,1
Don'Tale Mayes,Josh Parisian,Red,1
Jordan Leavitt,Matt Sayles,Red,1
Charles Oliveira,Dustin Poirier,Red,1
Amanda Nunes,Julianna Pena,Blue,0
Geoff Neal,Santiago Ponzinibbio,Red,1
Kai Kara-France,Cody Garbrandt,Red,1
Raulian Paiva,Sean O'Malley,Blue,0
Josh Emmett,Dan Ige,Red,1
Pedro Munhoz,Dominick Cruz,Blue,0
Augusto Sakai,Tai Tuivasa,Blue,0
Jordan Wright,Bruno Silva,Blue,0
Andre Muniz,Eryk Anders,Red,1
Miranda Maverick,Erin Blanchfield,Blue,0
Ryan Hall,Darrick Minner,Red,1
Randy Costa,Tony Kelley,Blue,0
Gillian Robertson,Priscila Cachoeira,Red,1
Rob Font,Jose Aldo,Blue,0
Brad Riddell,Rafael Fiziev,Blue,0
Jimmy Crute,Jamahal Hill,Blue,0
Clay Guida,Leonardo Santos,Red,1
Brendan Allen,Chris Curtis,Blue,0
Alex Morono,Mickey Gall,Red,1
Maki Pitolo,Dusko Todorovic,Blue,0
Manel Kape,Zhalgas Zhumagulov,Red,1
Bryan Barberena,Darian Weeks,Red,1
Cheyanne Vlismas,Mallory Martin,Red,1
Alonzo Menifield,William Knight,Blue,0
Claudio Puelles,Chris Gruetzemacher,Red,1
Louis Smolka,Vince Morales,Blue,0
Ketlen Vieira,Miesha Tate,Red,1
Michael Chiesa,Sean Brady,Blue,0
Joanne Wood,Taila Santos,Blue,0
Rani Yahya,Kyung Ho Kang,Red,1
Davey Grant,Adrian Yanez,Blue,0
Pat Sabatini,Tucker Lutz,Red,1
Rafa Garcia,Natan Levy,Red,1
Loma Lookboonmee,Loopy Godinez,Blue,0
Cody Durden,Aoriqileng,Red,1
Shayilan Nuerdanbieke,Sean Soriano,Red,1
Luana Pinheiro,Sam Hughes,Red,1
Max Holloway,Yair Rodriguez,Red,1
Ben Rothwell,Marcos Rogerio de Lima,Blue,0
Felicia Spencer,Leah Letson,Red,1
Miguel Baeza,Khaos Williams,Blue,0
Song Yadong,Julio Arce,Red,1
Thiago Moises,Joel Alvarez,Blue,0
Cynthia Calvillo,Andrea Lee,Blue,0
Sean Woodson,Collin Anglin,Red,1
Cortney Casey,Liana Jojua,Red,1
Marc Diakiese,Rafael Alves,Blue,0
Kennedy Nzechukwu,Da Woon Jung,Blue,0
Kamaru Usman,Colby Covington,Red,1
Rose Namajunas,Zhang Weili,Red,1
Frankie Edgar,Marlon Vera,Blue,0
Shane Burgos,Billy Quarantillo,Red,1
Justin Gaethje,Michael Chandler,Red,1
Alex Pereira,Andreas Michailidis,Red,1
Al Iaquinta,King Green,Blue,0
Phil Hawes,Chris Curtis,Blue,0
Edmen Shahbazyan,Nassourdine Imavov,Blue,0
Ian Machado Garry,Jordan Williams,Red,1
Gian Villante,Chris Barnett,Blue,0
Dustin Jacoby,John Allan,Red,1
Melsik Baghdasaryan,Bruno Souza,Red,1
CJ Vergara,Ode Osbourne,Blue,0
Jan Blachowicz,Glover Teixeira,Blue,0
Petr Yan,Cory Sandhagen,Red,1
Islam Makhachev,Dan Hooker,Red,1
Alexander Volkov,Marcin Tybura,Red,1
Li Jingliang,Khamzat Chimaev,Blue,0
Magomed Ankalaev,Volkan Oezdemir,Red,1
Amanda Ribas,Virna Jandiroba,Red,1
Ricardo Ramos,Zubaira Tukhugov,Blue,0
Albert Duraev,Roman Kopylov,Red,1
Elizeu Zaleski dos Santos,Benoit Saint Denis,Red,1
Shamil Gamzatov,Michal Oleksiejczuk,Blue,0
Makwan Amirkhani,Lerone Murphy,Blue,0
Hu Yaozong,Andre Petroski,Blue,0
Tagir Ulanbekov,Allan Nascimento,Red,1
Paulo Costa,Marvin Vettori,Blue,0
Jessica-Rose Clark,Joselyne Edwards,Red,1
Alex Caceres,SeungWoo Choi,Red,1
Francisco Trinaldo,Dwight Grant,Red,1
Nicolae Negumereanu,Ike Villanueva,Red,1
JunYong Park,Gregory Rodrigues,Blue,0
Mason Jones,David Onama,Red,1
Tabatha Ricci,Maria Oliveira,Red,1
Jamie Pickett,Laureano Staropoli,Red,1
Khama Worthy,Jai Herbert,Blue,0
Jeff Molina,Daniel Lacerda,Red,1
Livinha Souza,Randa Markos,Blue,0
Jonathan Martinez,Zviad Lazishvili,Red,1
Aspen Ladd,Norma Dumont,Blue,0
Andrei Arlovski,Carlos Felipe,Red,1
Jim Miller,Erick Gonzalez,Red,1
Manon Fiorot,Mayra Bueno Silva,Red,1
Nate Landwehr,Ludovit Klein,Red,1
Andrew Sanchez,Bruno Silva,Blue,0
Danny Roberts,Ramazan Emeev,Red,1
Loopy Godinez,Luana Carolina,Blue,0
Batgerel Danaa,Brandon Davis,Red,1
Istela Nunes,Ariane Carnelossi,Blue,0
Mackenzie Dern,Marina Rodriguez,Blue,0
Randy Brown,Jared Gooden,Red,1
Tim Elliott,Matheus Nicolau,Blue,0
Sabina Mazo,Mariya Agapova,Blue,0
Chris Gutierrez,Felipe Colares,Red,1
Alexandr Romanov,Jared Vanderaa,Red,1
Charles Rosa,Damon Jackson,Blue,0
Loopy Godinez,Silvana Gomez Juarez,Red,1
Steve Garcia,Charlie Ontiveros,Red,1
Thiago Santos,Johnny Walker,Red,1
Alex Oliveira,Niko Price,Blue,0
Misha Cirkunov,Krzysztof Jotko,Blue,0
Alexander Hernandez,Mike Breeden,Red,1
Joe Solecki,Jared Gordon,Blue,0
Antonina Shevchenko,Casey O'Neill,Blue,0
Bethe Correia,Karol Rosa,Blue,0
Devonte Smith,Jamie Mullarkey,Blue,0
Douglas Silva de Andrade,Gaetano Pirrello,Red,1
Stephanie Egger,Shanna Young,Red,1
Alejandro Perez,Johnny Eduardo,Red,1
Alexander Volkanovski,Brian Ortega,Red,1
Valentina Shevchenko,Lauren Murphy,Red,1
Nick Diaz,Robbie Lawler,Blue,0
Curtis Blaydes,Jairzinho Rozenstruik,Red,1
Jessica Andrade,Cynthia Calvillo,Red,1
Marlon Moraes,Merab Dvalishvili,Blue,0
Dan Hooker,Nasrat Haqparast,Red,1
Shamil Abdurakhimov,Chris Daukaus,Blue,0
Roxanne Modafferi,Taila Santos,Blue,0
Uros Medic,Jalin Turner,Blue,0
Cody Brundage,Nick Maximov,Blue,0
Matthew Semelsberger,Martin Sano,Red,1
Jonathan Pearce,Omar Morales,Red,1
Anthony Smith,Ryan Spann,Red,1
Ion Cutelaba,Devin Clark,Red,1
Ariane da Silva,Mandy Bohm,Red,1
Arman Tsarukyan,Christos Giagos,Red,1
Nate Maness,Tony Gravely,Red,1
Joaquin Buckley,Antonio Arroyo,Red,1
Mike Rodriguez,Tafon Nchukwi,Blue,0
Pannie Kianzad,Raquel Pennington,Blue,0
Rongzhu,Brandon Jenkins,Red,1
Montel Jackson,JP Buys,Red,1
Erin Blanchfield,Sarah Alpar,Red,1
Impa Kasanganay,Carlston Harris,Blue,0
Emily Whitmire,Hannah Goldy,Blue,0
Derek Brunson,Darren Till,Red,1
Tom Aspinall,Serghei Spivac,Red,1
Alex Morono,David Zawada,Red,1
Modestas Bukauskas,Khalil Rountree Jr.,Blue,0
Paddy Pimblett,Luigi Vendramini,Red,1
Molly McCann,Ji Yeon Kim,Red,1
Jack Shore,Liudvik Sholinian,Red,1
Julian Erosa,Charles Jourdain,Red,1
Dalcha Lungiambula,Marc-Andre Barriault,Blue,0
Edson Barboza,Giga Chikadze,Blue,0
Bryan Battle,Gilbert Urbina,Red,1
Ricky Turcios,Brady Hiestand,Red,1
Kevin Lee,Daniel Rodriguez,Blue,0
Andre Petroski,Micheal Gillmore,Red,1
Makhmud Muradov,Gerald Meerschaert,Blue,0
Alessio Di Chirico,Abdul Razak Alhassan,Blue,0
Sam Alvey,Wellington Turman,Blue,0
Dustin Jacoby,Darren Stewart,Red,1
JJ Aldrich,Vanessa Demopoulos,Red,1
Jamall Emmers,Pat Sabatini,Blue,0
Mana Martinez,Guido Cannetti,Red,1
Jared Cannonier,Kelvin Gastelum,Red,1
Clay Guida,Mark Madsen,Blue,0
Parker Porter,Chase Sherman,Red,1
Trevin Jones,Saidyokub Kakhramonov,Blue,0
Vinc Pichel,Austin Hubbard,Red,1
Alexandre Pantoja,Brandon Royval,Red,1
Austin Lingo,Luis Saldana,Red,1
Brian Kelleher,Domingo Pilarte,Red,1
Bea Malecki,Josiane Nunes,Blue,0
William Knight,Fabio Cherant,Red,1
Roosevelt Roberts,Ignacio Bahamondes,Blue,0
Sasha Palatnikov,Ramiz Brahimaj,Blue,0
Derrick Lewis,Ciryl Gane,Blue,0
Jose Aldo,Pedro Munhoz,Red,1
Michael Chiesa,Vicente Luque,Blue,0
Tecia Pennington,Angela Hill,Red,1
Song Yadong,Casey Kenney,Red,1
King Green,Rafael Fiziev,Blue,0
Vince Morales,Drako Rodriguez,Red,1
Alonzo Menifield,Ed Herman,Red,1
Karolina Kowalkiewicz,Jessica Penne,Blue,0
Manel Kape,Ode Osbourne,Red,1
Miles Johns,Anderson Dos Santos,Red,1
Victoria Leonardo,Melissa Gatto,Blue,0
Johnny Munoz,Jamey Simmons,Red,1
Uriah Hall,Sean Strickland,Blue,0
Cheyanne Vlismas,Gloria de Paula,Red,1
Niklas Stolze,Jared Gooden,Blue,0
Collin Anglin,Melsik Baghdasaryan,Blue,0
Bryan Barberena,Jason Witt,Blue,0
Chris Gruetzemacher,Rafa Garcia,Red,1
Jinh Yu Frey,Ashley Yoder,Red,1
Ryan Benoit,Zarrukh Adashev,Blue,0
Phil Rowe,Orion Cosce,Red,1
Cory Sandhagen,TJ Dillashaw,Blue,0
Kyler Phillips,Raulian Paiva,Blue,0
Darren Elkins,Darrick Minner,Red,1
Miranda Maverick,Maycee Barber,Blue,0
Adrian Yanez,Randy Costa,Red,1
Punahele Soriano,Brendan Allen,Blue,0
Nassourdine Imavov,Ian Heinisch,Red,1
Mickey Gall,Jordan Williams,Red,1
Julio Arce,Andre Ewell,Red,1
Sijara Eubanks,Elise Reed,Red,1
Diana Belbita,Hannah Goldy,Red,1
Islam Makhachev,Thiago Moises,Red,1
Marion Reneau,Miesha Tate,Blue,0
Jeremy Stephens,Mateusz Gamrot,Blue,0
Rodolfo Vieira,Dustin Stoltzfus,Red,1
Gabriel Benitez,Billy Quarantillo,Blue,0
Daniel Rodriguez,Preston Parsons,Red,1
Amanda Lemos,Montserrat Conejo Ruiz,Red,1
Khalid Taha,Sergey Morozov,Blue,0
Francisco Figueiredo,Malcolm Gordon,Blue,0
Dustin Poirier,Conor McGregor,Red,1
Gilbert Burns,Stephen Thompson,Red,1
Tai Tuivasa,Greg Hardy,Red,1
Irene Aldana,Yana Santos,Red,1
Sean O'Malley,Kris Moutinho,Red,1
Carlos Condit,Max Griffin,Blue,0
Niko Price,Michel Pereira,Blue,0
Ryan Hall,Ilia Topuria,Blue,0
Trevin Giles,Dricus Du Plessis,Blue,0
Jennifer Maia,Jessica Eye,Red,1
Omari Akhmedov,Brad Tavares,Blue,0
Zhalgas Zhumagulov,Jerome Rivera,Red,1
Ciryl Gane,Alexander Volkov,Red,1
Tanner Boser,Ovince Saint Preux,Red,1
Raoni Barcelos,Timur Valiev,Blue,0
Tim Means,Nicolas Dalby,Red,1
Renato Moicano,Jai Herbert,Red,1
Kennedy Nzechukwu,Danilo Marques,Red,1
Shavkat Rakhmonov,Michel Prazeres,Red,1
Warlley Alves,Jeremiah Wells,Blue,0
Marcin Prachnio,Ike Villanueva,Red,1
Julia Avila,Julija Stoliarenko,Red,1
Charles Rosa,Justin Jaynes,Red,1
Yancy Medeiros,Damir Hadzovic,Blue,0
Chan Sung Jung,Dan Ige,Red,1
Aleksei Oleinik,Serghei Spivac,Blue,0
Marlon Vera,Davey Grant,Red,1
Julian Erosa,SeungWoo Choi,Blue,0
Wellington Turman,Bruno Silva,Blue,0
Matt Brown,Dhiego Lima,Red,1
Aleksa Camur,Nicolae Negumereanu,Blue,0
Kanako Murata,Virna Jandiroba,Blue,0
Khaos Williams,Matthew Semelsberger,Red,1
Josh Parisian,Roque Martinez,Red,1
Joaquim Silva,Ricky Glenn,Blue,0
Casey O'Neill,Lara Procopio,Red,1
Israel Adesanya,Marvin Vettori,Red,1
Deiveson Figueiredo,Brandon Moreno,Blue,0
Leon Edwards,Nate Diaz,Red,1
Demian Maia,Belal Muhammad,Blue,0
Paul Craig,Jamahal Hill,Red,1
Drew Dober,Brad Riddell,Blue,0
Eryk Anders,Darren Stewart,Red,1
Lauren Murphy,Joanne Wood,Red,1
Movsar Evloev,Hakeem Dawodu,Red,1
Pannie Kianzad,Alexis Davis,Red,1
Matt Frevola,Terrance McKinney,Blue,0
Chase Hooper,Steven Peterson,Blue,0
Fares Ziam,Luigi Vendramini,Red,1
Carlos Felipe,Jake Collier,Red,1
Jairzinho Rozenstruik,Augusto Sakai,Red,1
Walt Harris,Marcin Tybura,Blue,0
Roman Dolidze,Laureano Staropoli,Red,1
Santiago Ponzinibbio,Miguel Baeza,Red,1
Dusko Todorovic,Gregory Rodrigues,Blue,0
Montana De La Rosa,Ariane da Silva,Red,1
Tanner Boser,Ilir Latifi,Blue,0
Francisco Trinaldo,Muslim Salikhov,Blue,0
Makwan Amirkhani,Kamuela Kirk,Blue,0
Manon Fiorot,Tabatha Ricci,Red,1
Sean Woodson,Youssef Zalal,Red,1
Claudio Puelles,Jordan Leavitt,Red,1
Rob Font,Cody Garbrandt,Red,1
Yan Xiaonan,Carla Esparza,Blue,0
Justin Tafa,Jared Vanderaa,Blue,0
Felicia Spencer,Norma Dumont,Blue,0
Ricardo Ramos,Bill Algeo,Red,1
Jack Hermansson,Edmen Shahbazyan,Red,1
Ben Rothwell,Chris Barnett,Red,1
Court McGee,Claudio Silva,Red,1
Bruno Silva,Victor Rodriguez,Red,1
Josh Culibao,Shayilan Nuerdanbieke,Red,1
David Dvorak,Juancamilo Ronderos,Red,1
Rafael Alves,Damir Ismagulov,Blue,0
Charles Oliveira,Michael Chandler,Red,1
Tony Ferguson,Beneil Dariush,Blue,0
Katlyn Cerminara,Viviane Araujo,Red,1
Shane Burgos,Edson Barboza,Blue,0
Jacare Souza,Andre Muniz,Blue,0
Lando Vannata,Mike Grundy,Red,1
Jordan Wright,Jamie Pickett,Red,1
Andrea Lee,Antonina Shevchenko,Red,1
Gina Mazany,Priscila Cachoeira,Blue,0
Kevin Aguilar,Tucker Lutz,Blue,0
Christos Giagos,Sean Soriano,Red,1
Marina Rodriguez,Michelle Waterson-Gomez,Red,1
Donald Cerrone,Alex Morono,Blue,0
Neil Magny,Geoff Neal,Red,1
Maurice Greene,Marcos Rogerio de Lima,Blue,0
Diego Ferreira,Gregor Gillespie,Blue,0
Phil Hawes,Kyle Daukaus,Red,1
Ludovit Klein,Michael Trizano,Blue,0
JunYong Park,Tafon Nchukwi,Red,1
Christian Aguilera,Carlston Harris,Blue,0
Dominick Reyes,Jiri Prochazka,Blue,0
Giga Chikadze,Cub Swanson,Red,1
Sean Strickland,Krzysztof Jotko,Red,1
Merab Dvalishvili,Cody Stamann,Red,1
Randa Markos,Luana Pinheiro,Blue,0
Kai Kamaka,TJ Brown,Blue,0
Poliana Botelho,Luana Carolina,Blue,0
Loma Lookboonmee,Sam Hughes,Red,1
Andreas Michailidis,KB Bhullar,Red,1
Luke Sanders,Felipe Colares,Blue,0
Kamaru Usman,Jorge Masvidal,Red,1
Zhang Weili,Rose Namajunas,Blue,0
Valentina Shevchenko,Jessica Andrade,Red,1
Uriah Hall,Chris Weidman,Red,1
Anthony Smith,Jimmy Crute,Red,1
Alex Oliveira,Randy Brown,Blue,0
Dwight Grant,Stefan Sekulic,Red,1
Karl Roberson,Brendan Allen,Blue,0
Pat Sabatini,Tristan Connelly,Red,1
Batgerel Danaa,Kevin Natividad,Red,1
Kazula Vargas,Rongzhu,Red,1
Aoriqileng,Jeff Molina,Blue,0
Liang Na,Ariane Carnelossi,Blue,0
Robert Whittaker,Kelvin Gastelum,Red,1
Andrei Arlovski,Chase Sherman,Red,1
Abdul Razak Alhassan,Jacob Malkoun,Blue,0
Tracy Cortez,Justine Kish,Red,1
Luis Pena,Alexander Munoz,Red,1
Alexandr Romanov,Juan Espino,Red,1
Jessica Penne,Loopy Godinez,Red,1
Bartosz Fabinski,Gerald Meerschaert,Blue,0
Austin Hubbard,Dakota Bush,Red,1
Tony Gravely,Anthony Birchak,Red,1
Marvin Vettori,Kevin Holland,Red,1
Arnold Allen,Sodiq Yusuff,Red,1
Sam Alvey,Julian Marquez,Blue,0
Nina Nunes,Mackenzie Dern,Blue,0
Mike Perry,Daniel Rodriguez,Blue,0
Jim Miller,Joe Solecki,Blue,0
Scott Holtzman,Mateusz Gamrot,Blue,0
John Makdessi,Ignacio Bahamondes,Red,1
Yorgan De Castro,Jarjis Danho,Blue,0
Hunter Azure,Jack Shore,Blue,0
Luis Saldana,Jordan Griffin,Red,1
Da Woon Jung,William Knight,Red,1
Impa Kasanganay,Sasha Palatnikov,Red,1
Stipe Miocic,Francis Ngannou,Blue,0
Tyron Woodley,Vicente Luque,Blue,0
Sean O'Malley,Thomas Almeida,Red,1
Gillian Robertson,Miranda Maverick,Blue,0
Jamie Mullarkey,Khama Worthy,Red,1
Alonzo Menifield,Fabio Cherant,Red,1
Jared Gooden,Abubakar Nurmagomedov,Blue,0
Modestas Bukauskas,Michal Oleksiejczuk,Blue,0
Shane Young,Omar Morales,Blue,0
Marc-Andre Barriault,Abu Azaitar,Red,1
Derek Brunson,Kevin Holland,Red,1
Song Kenan,Max Griffin,Blue,0
Cheyanne Vlismas,Montserrat Conejo Ruiz,Blue,0
Adrian Yanez,Gustavo Lopez,Red,1
Tai Tuivasa,Harry Hunsucker,Red,1
Marion Reneau,Macy Chiasson,Blue,0
Leonardo Santos,Grant Dawson,Blue,0
Trevin Giles,Roman Dolidze,Red,1
Montel Jackson,Jesse Strader,Red,1
Bruno Silva,JP Buys,Red,1
Misha Cirkunov,Ryan Spann,Blue,0
Dan Ige,Gavin Tucker,Red,1
Jonathan Martinez,Davey Grant,Blue,0
Manel Kape,Matheus Nicolau,Blue,0
Angela Hill,Ashley Yoder,Red,1
Charles Jourdain,Marcelo Rojo,Red,1
Rani Yahya,Ray Rodriguez,Red,1
Nasrat Haqparast,Rafa Garcia,Red,1
Cortney Casey,JJ Aldrich,Blue,0
Gloria de Paula,Jinh Yu Frey,Blue,0
Matthew Semelsberger,Jason Witt,Red,1
Jan Blachowicz,Israel Adesanya,Red,1
Amanda Nunes,Megan Anderson,Red,1
Petr Yan,Aljamain Sterling,Blue,0
Islam Makhachev,Drew Dober,Red,1
Thiago Santos,Aleksandar Rakic,Blue,0
Dominick Cruz,Casey Kenney,Red,1
Song Yadong,Kyler Phillips,Blue,0
Joseph Benavidez,Askar Askarov,Blue,0
Rogerio Bontorin,Kai Kara-France,Blue,0
Tim Elliott,Jordan Espinosa,Red,1
Kennedy Nzechukwu,Carlos Ulberg,Red,1
Sean Brady,Jake Matthews,Red,1
Livinha Souza,Amanda Lemos,Blue,0
Uros Medic,Aalon Cruz,Red,1
Mario Bautista,Trevin Jones,Blue,0
Jairzinho Rozenstruik,Ciryl Gane,Blue,0
Nikita Krylov,Magomed Ankalaev,Blue,0
Pedro Munhoz,Jimmie Rivera,Red,1
Alex Caceres,Kevin Croom,Red,1
Alexander Hernandez,Thiago Moises,Blue,0
Alexis Davis,Sabina Mazo,Red,1
Vince Cachero,Ronnie Lawrence,Blue,0
Dustin Jacoby,Maxim Grishin,Red,1
Curtis Blaydes,Derrick Lewis,Blue,0
Ketlen Vieira,Yana Santos,Blue,0
Charles Rosa,Darrick Minner,Blue,0
Aleksei Oleinik,Chris Daukaus,Blue,0
Phil Hawes,Nassourdine Imavov,Red,1
Andrei Arlovski,Tom Aspinall,Blue,0
Jared Gordon,Danny Chavez,Red,1
Eddie Wineland,John Castaneda,Blue,0
Nate Landwehr,Julian Erosa,Blue,0
Shana Dobson,Casey O'Neill,Blue,0
Aiemann Zahabi,Drako Rodriguez,Red,1
Serghei Spivac,Jared Vanderaa,Red,1
Kamaru Usman,Gilbert Burns,Red,1
Maycee Barber,Alexa Grasso,Blue,0
Kelvin Gastelum,Ian Heinisch,Red,1
Ricky Simon,Brian Kelleher,Red,1
Maki Pitolo,Julian Marquez,Blue,0
Rodolfo Vieira,Anthony Hernandez,Blue,0
Belal Muhammad,Dhiego Lima,Red,1
Polyana Viana,Mallory Martin,Red,1
Andre Ewell,Chris Gutierrez,Blue,0
Gabe Green,Phil Rowe,Red,1
Alistair Overeem,Alexander Volkov,Blue,0
Cory Sandhagen,Frankie Edgar,Red,1
Michael Johnson,Clay Guida,Blue,0
Alexandre Pantoja,Manel Kape,Red,1
Diego Ferreira,Beneil Dariush,Blue,0
Mike Rodriguez,Danilo Marques,Blue,0
Devonte Smith,Justin Jaynes,Red,1
Karol Rosa,Joselyne Edwards,Red,1
Molly McCann,Lara Procopio,Blue,0
SeungWoo Choi,Youssef Zalal,Red,1
Timur Valiev,Martin Day,Red,1
Ode Osbourne,Jerome Rivera,Red,1
Dustin Poirier,Conor McGregor,Red,1
Dan Hooker,Michael Chandler,Blue,0
Jessica Eye,Joanne Wood,Blue,0
Andrew Sanchez,Makhmud Muradov,Blue,0
Marina Rodriguez,Amanda Ribas,Red,1
Arman Tsarukyan,Matt Frevola,Red,1
Brad Tavares,Antonio Carlos Junior,Red,1
Julianna Pena,Sara McMann,Red,1
Khalil Rountree Jr.,Marcin Prachnio,Blue,0
Nik Lentz,Movsar Evloev,Blue,0
Amir Albazi,Zhalgas Zhumagulov,Red,1
Michael Chiesa,Neil Magny,Red,1
Warlley Alves,Mounir Lazzez,Red,1
Ike Villanueva,Vinicius Moreira,Red,1
Roxanne Modafferi,Viviane Araujo,Blue,0
Matt Schnell,Tyson Nam,Red,1
Lerone Murphy,Douglas Silva de Andrade,Red,1
Omari Akhmedov,Tom Breese,Red,1
Ricky Simon,Gaetano Pirrello,Red,1
Sumudaerji,Zarrukh Adashev,Red,1
Dalcha Lungiambula,Markus Perez,Red,1
Francisco Figueiredo,Jerome Rivera,Red,1
Mike Davis,Mason Jones,Red,1
